id,day,phase,keyTasks,status,profitTarget,dueDate
DAY_122,122,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2025-11-15
DAY_123,123,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2025-11-16
DAY_124,124,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2025-11-17
DAY_125,125,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2025-11-18
DAY_126,126,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2025-11-19
DAY_127,127,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2025-11-20
DAY_128,128,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2025-11-21
DAY_129,129,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2025-11-22
DAY_130,130,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2025-11-23
DAY_131,131,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2025-11-24
DAY_132,132,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2025-11-25
DAY_133,133,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2025-11-26
DAY_134,134,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2025-11-27
DAY_135,135,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2025-11-28
DAY_136,136,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2025-11-29
DAY_137,137,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2025-11-30
DAY_138,138,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2025-12-01
DAY_139,139,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2025-12-02
DAY_140,140,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2025-12-03
DAY_141,141,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2025-12-04
DAY_142,142,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2025-12-05
DAY_143,143,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2025-12-06
DAY_144,144,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2025-12-07
DAY_145,145,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2025-12-08
DAY_146,146,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2025-12-09
DAY_147,147,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2025-12-10
DAY_148,148,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2025-12-11
DAY_149,149,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2025-12-12
DAY_150,150,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2025-12-13
DAY_151,151,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2025-12-14
DAY_152,152,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2025-12-15
DAY_153,153,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2025-12-16
DAY_154,154,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2025-12-17
DAY_155,155,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2025-12-18
DAY_156,156,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2025-12-19
DAY_157,157,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2025-12-20
DAY_158,158,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2025-12-21
DAY_159,159,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2025-12-22
DAY_160,160,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2025-12-23
DAY_161,161,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2025-12-24
DAY_162,162,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2025-12-25
DAY_163,163,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2025-12-26
DAY_164,164,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2025-12-27
DAY_165,165,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2025-12-28
DAY_166,166,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2025-12-29
DAY_167,167,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2025-12-30
DAY_168,168,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2025-12-31
DAY_169,169,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2026-01-01
DAY_170,170,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2026-01-02
DAY_171,171,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2026-01-03
DAY_172,172,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2026-01-04
DAY_173,173,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2026-01-05
DAY_174,174,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2026-01-06
DAY_175,175,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2026-01-07
DAY_176,176,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2026-01-08
DAY_177,177,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2026-01-09
DAY_178,178,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2026-01-10
DAY_179,179,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2026-01-11
DAY_180,180,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2026-01-12
DAY_181,181,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2026-01-13
DAY_182,182,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2026-01-14
DAY_183,183,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2026-01-15
DAY_184,184,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2026-01-16
DAY_185,185,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2026-01-17
DAY_186,186,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2026-01-18
DAY_187,187,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2026-01-19
DAY_188,188,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2026-01-20
DAY_189,189,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2026-01-21
DAY_190,190,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2026-01-22
DAY_191,191,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2026-01-23
DAY_192,192,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2026-01-24
DAY_193,193,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2026-01-25
DAY_194,194,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2026-01-26
DAY_195,195,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2026-01-27
DAY_196,196,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2026-01-28
DAY_197,197,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2026-01-29
DAY_198,198,Funding,"• Préparer la présentation aux investisseurs\n• Affiner le modèle financier\n• Identifier les partenaires potentiels",pending,500,2026-01-30
DAY_199,199,Funding,"• Rencontrer les fonds de capital-risque\n• Négocier les termes\n• Finaliser les accords",pending,600,2026-01-31
DAY_200,200,Funding,"• Suivi des investisseurs\n• Préparer la prochaine levée de fonds\n• Optimisation des produits existants",pending,700,2026-02-01
DAY_201,201,Foundation,"• Revoir l'architecture système\n• Mettre à jour les dépendances\n• Optimiser les performances",pending,0,2026-02-02
DAY_202,202,Foundation,"• Développer le module d'analyse sémantique\n• Intégrer de nouvelles sources de données\n• Tester l'intégration",pending,50,2026-02-03
DAY_203,203,Foundation,"• Améliorer l'algorithme de reconnaissance vocale\n• Optimiser la précision\n• Préparer la documentation",pending,100,2026-02-04
DAY_204,204,Revenue,"• Lancer la campagne de marketing digital\n• Optimiser les publicités\n• Suivre les conversions",pending,200,2026-02-05
DAY_205,205,Revenue,"• Analyser les données de vente\n• Identifier les opportunités de croissance\n• Développer de nouvelles stratégies",pending,300,2026-02-06
DAY_206,206,Revenue,"• Expansion des marchés cibles\n• Adapter les produits aux besoins locaux\n• Support client multilingue",pending,400,2026-02-07
DAY_207,207,Revenue,"• Semaine de révision des objectifs\n• Préparation des rapports financiers\n• Documentation des processus",pending,500,2026-02-08
